run_id,algorithm,map_file,route,start_x,start_y,goal_x,goal_y,status,path_length_planned_m,distance_traveled_m,straight_line_dist_m,path_optimality_ratio,path_smoothness_rad,planning_time_s,execution_time_s,total_time_s,completeness,avg_velocity_ms,energy_efficiency,num_recoveries
4453b2b8,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.7143,13.0384,1.0625,0.0677,0.2461,220.1606,220.165,1,0.0623,1.0101,7
592afd66,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.8339,13.0384,1.0625,0.0677,0.2187,213.3403,213.3483,1,0.0648,1.0014,1
9363a975,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,14.0124,13.0384,1.0625,0.0677,0.2008,232.5524,232.5557,1,0.0603,0.9886,10
b8e07fb6,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.6831,13.0384,1.0625,0.0677,0.1732,227.5563,227.559,1,0.0601,1.0124,8
d9f547de,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,14.1331,13.0384,1.0625,0.0677,0.3741,266.0023,266.007,1,0.0531,0.9802,14
04ac87b7,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.3153,13.0384,1.0633,0.0696,0.0139,225.2561,225.2611,1,0.0636,0.9684,9
2bb24307,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.9141,13.0384,1.0633,0.0696,0.0114,223.277,223.2796,1,0.0623,0.9963,5
8a2d6e7d,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.4773,13.0384,1.0633,0.0696,0.7029,233.1312,233.1416,1,0.0578,1.0286,15
b9cf9fcd,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.0854,13.0384,1.0633,0.0696,0.1257,219.2661,219.2718,1,0.0642,0.9842,9
bd1e134f,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.5694,13.0384,1.0633,0.0696,1.0416,201.3629,201.3667,1,0.0674,1.0216,0
34a455f5,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5434,13.6733,13.0384,1.0387,0.2114,8.3293,203.7712,212.1069,1,0.0671,0.9905,0
a63d63d1,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5612,13.6845,13.0384,1.0401,0.221,8.6233,196.2686,204.8978,1,0.0697,0.991,0
b2e3b88b,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5256,13.5825,13.0384,1.0374,0.1603,9.4951,199.065,208.5708,1,0.0682,0.9958,0
c7030e96,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4254,13.2566,13.0384,1.0297,0.1837,8.263,197.8735,206.1424,1,0.067,1.0127,0
cb87ef7a,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5434,13.7275,13.0384,1.0387,0.2114,8.5777,195.4165,204.0001,1,0.0702,0.9866,0
2a70467f,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4842,13.8604,13.0384,1.0342,0.2061,0.0075,200.3651,200.6321,1,0.0692,0.9729,0
abe63e6a,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.0792,13.7323,13.0384,1.0798,0.3046,0.2503,197.6158,197.8729,1,0.0695,1.0253,0
b43d8fa3,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8035,13.4824,13.0384,1.0587,0.1863,0.4913,196.9694,197.4654,1,0.0684,1.0238,0
c324b2f1,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.04,13.9089,13.0384,1.0768,0.2239,0.0095,197.3152,197.3302,1,0.0705,1.0094,0
e071ad63,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.4082,13.523,13.0384,1.1051,0.2757,0.0059,199.7189,199.7318,1,0.0677,1.0655,0
